"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"栄永","えいなが","好嘉","よしか",44,"40-44","女",154.7,51.9,21.7,"大阪府","高校・旧中","なし","事務従事者","300万円～","有配偶",42,"吸わない","飲まない (飲めない)","やや不満だ"
"澤野","さわの","咲雲","さくも",47,"45-49","女",157.7,33.8,13.6,"埼玉県","高校・旧中","なし","無職その他","100万円以下","有配偶",30,"吸わない","毎日","やや不満だ"
"松多","まつた","香字","こうじ",52,"50-54","男",161.8,59.7,22.8,"埼玉県","大学・大学院","大学 農学","販売従事者","500万円～","有配偶",21,"吸わない","ほとんど飲まない","やや不満だ"
"宇宙","うちゅう","奏瑠","める",73,"70-74","女",151.9,53.1,23,"熊本県","小学校・中学校","なし","無職その他","100万円～","有配偶",21,"吸わない","飲まない (飲めない)","やや満足"
"藤嶋","ふじしま","逸","いち",92,"90-94","男",157.5,65.2,26.3,"福島県","高校・旧中","なし","無職その他","100万円～","死別",32,"吸わない","毎日","やや不満だ"
"油橋","ゆばし","翠愛","みあい",74,"70-74","女",152.1,48.6,21,"千葉県","高校・旧中","なし","運搬・清掃・包装等従事者","500万円～","有配偶",31,"吸わない","週３-４日","やや不満だ"
"沢居","さわい","諒人","あさと",34,"30-34","男",165.6,65.3,23.8,"大阪府","短大・高専","高専 電子制御工学","販売従事者","300万円～","有配偶",31,"吸わない","飲まない (飲めない)","やや満足"
"泥","どろ","龍羽輝","りゅうる",45,"45-49","男",173.3,91.3,30.4,"滋賀県","大学・大学院","大学 保健","無職その他","400万円～","有配偶",26,"吸わない","週５-６日","やや不満だ"
"日根","ひね","巴咲","ともさ",61,"60-64","女",162.7,65.1,24.6,"群馬県","高校・旧中","なし","生産工程従事者","500万円～","有配偶",32,"吸わない","ほとんど飲まない","やや満足"
"丸池","まるいけ","進吾朗","しんごろう",64,"60-64","男",178.6,81.7,25.6,"福島県","大学・大学院","大学 人文科学","運搬・清掃・包装等従事者","600万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"神子上","みこがみ","乾直","きみなお",44,"40-44","男",173.5,87.3,29,"大阪府","短大・高専","高専 機械工学","農林漁業従事者","500万円～","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","毎日","不満だ"
"若代","わかしろ","直聖","なおきよ",18,"15-19","男",175.8,74.5,24.1,"埼玉県","高校・旧中","なし","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"志津","しず","楓大","そうた",83,"80-84","男",154.1,53,22.3,"神奈川県","高校・旧中","なし","農林漁業従事者","1000万円～1500万円","死別",31,"吸わない","毎日","満足"
"津熊","つくま","朱峰","あけみね",50,"50-54","男",163.6,53.5,20,"東京都","短大・高専","短大 人文","輸送・機械運転従事者","600万円～","有配偶",21,"時々吸う日がある","毎日","やや不満だ"
"平坂","ひらさか","祐亮","ゆうすけ",89,"85-89","男",166.9,63,22.6,"大阪府","短大・高専","高専 機械工学","無職その他","700万円～","有配偶",25,"吸わない","週３-４日","やや満足"
"松香","まつか","龍夏","りゅうな",90,"90-94","女",138.4,61.1,31.9,"福岡県","小学校・中学校","なし","無職その他","400万円～","死別",25,"吸わない","飲まない (飲めない)","満足"
"三室","みむろ","基久","もとひさ",21,"20-24","男",171.2,70.3,24,"石川県","高校・旧中","なし","無職その他","300万円～","未婚",NA,"吸わない","毎日","満足"
"桐野","きりの","正也","まさなり",52,"50-54","男",185.7,96.9,28.1,"千葉県","高校・旧中","なし","専門的・技術的職業従事者","600万円～","有配偶",45,"毎日吸っている","週５-６日","やや不満だ"
"升屋","ますや","松之助","まつのすけ",74,"70-74","男",161,64.3,24.8,"静岡県","高校・旧中","なし","無職その他","1500万円～2000万円","有配偶",35,"以前は吸っていたが.１か月以上吸っていない","週３-４日","やや満足"
"藤中","ふじなか","憲晴","のりはる",71,"70-74","男",158.4,54.9,21.9,"東京都","小学校・中学校","なし","無職その他","100万円～","有配偶",28,"吸わない","ほとんど飲まない","やや満足"
"横室","よこむろ","陽之輔","はるのすけ",49,"45-49","男",167.8,54.6,19.4,"埼玉県","高校・旧中","なし","保安職業従事者","200万円～","有配偶",33,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"駒走","こまばしり","峰紋","たかあき",52,"50-54","男",164.9,67.7,24.9,"静岡県","高校・旧中","なし","サービス職業従事者","400万円～","有配偶",23,"毎日吸っている","週５-６日","不満だ"
"当尊","とうそん","介三郎","すけさぶろう",53,"50-54","男",163.4,62.5,23.4,"三重県","高校・旧中","なし","販売従事者","600万円～","有配偶",48,"毎日吸っている","毎日","やや満足"
"安葉","やすば","慶範","よしのり",24,"20-24","男",179.1,68.3,21.3,"埼玉県","短大・高専","短大 工業","分類不能の職業","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"七丈","しちじょう","甚治","じんじ",81,"80-84","男",161.6,56.9,21.8,"熊本県","小学校・中学校","なし","無職その他","600万円～","有配偶",26,"吸わない","毎日","やや満足"
"枝本","えだもと","光三","みつぞう",38,"35-39","男",167.7,61.9,22,"大阪府","大学・大学院","大学院 保健","専門的・技術的職業従事者","400万円～","有配偶",26,"毎日吸っている","ほとんど飲まない","やや満足"
"赤城","せきじょう","倍三","ばいぞう",65,"65-69","男",169.4,69.7,24.3,"神奈川県","高校・旧中","なし","無職その他","1000万円～1500万円","死別",25,"吸わない","毎日","やや不満だ"
"鹿摩","しかま","頼奥","よりおき",26,"25-29","男",175.9,70.9,22.9,"大阪府","高校・旧中","なし","サービス職業従事者","200万円～","未婚",NA,"吸わない","週５-６日","やや不満だ"
"金堂","こんどう","藤克","ふじかつ",22,"20-24","男",171,56.7,19.4,"京都府","小学校・中学校","なし","無職その他","300万円～",NA,NA,"吸わない","ほとんど飲まない","満足"
"伊野","いの","架里那","かりな",16,"15-19","女",143.6,39.2,19,"長崎県","小学校・中学校","なし","無職その他","100万円以下","未婚",NA,"吸わない","飲まない (飲めない)","やや不満だ"
"大津留","おおつる","帆乃香","ほのか",86,"85-89","女",162.6,50.2,19,"愛知県","小学校・中学校","なし","無職その他","200万円～","死別",31,"吸わない","飲まない (飲めない)","やや満足"
"鷺沢","さぎさわ","啓仁","あきひと",71,"70-74","男",161.1,80.5,31,"山形県","高校・旧中","なし","無職その他","500万円～","有配偶",23,"吸わない","やめた","やや不満だ"
"屋根田","やねだ","順一","じゅんいち",42,"40-44","男",168.6,49.2,17.3,"宮崎県","高校・旧中","なし","保安職業従事者","500万円～","有配偶",30,"毎日吸っている","週５-６日","やや不満だ"
"竹田","ちくだ","世治","せいじ",26,"25-29","男",166.9,71.6,25.7,"大阪府","大学・大学院","大学 その他","サービス職業従事者","300万円～","未婚",NA,"毎日吸っている","週１-２日","やや満足"
"岩武","いわたけ","貴","たか",46,"45-49","男",161.3,61.1,23.5,"大阪府","大学・大学院","大学 社会科学","販売従事者","1500万円～2000万円","有配偶",28,"毎日吸っている","週１-２日","やや満足"
"目時","めどき","敏依","としより",60,"60-64","男",169,71.7,25.1,"熊本県","短大・高専","高専 電気情報工学","販売従事者","400万円～","有配偶",22,"吸わない","ほとんど飲まない","やや満足"
"金藤","こんどう","静来","せいら",19,"15-19","女",150.7,56.8,25,"栃木県","小学校・中学校","なし","無職その他","100万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"久延","ひさのぶ","治繁","はるしげ",85,"85-89","男",172.6,70,23.5,"東京都","高校・旧中","なし","無職その他","100万円以下","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"造住","ぞうずみ","凜菜","りな",79,"75-79","女",152.2,58.8,25.4,"山口県","小学校・中学校","なし","無職その他","100万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや不満だ"
"板床","いたどこ","香須花","かすか",49,"45-49","女",154.7,47.4,19.8,"埼玉県","高校・旧中","なし","運搬・清掃・包装等従事者","100万円以下","有配偶",38,"吸わない","月に１-３日","やや不満だ"
"紅邑","べにむら","重夫","しげお",71,"70-74","男",162.2,62.9,23.9,"大阪府","大学・大学院","大学院 教育","農林漁業従事者","500万円～","有配偶",25,"吸わない","ほとんど飲まない","満足"
"豊久","とよひさ","和結","なゆ",72,"70-74","女",139.2,52.9,27.3,"愛知県","高校・旧中","なし","無職その他","600万円～","有配偶",32,"吸わない","ほとんど飲まない","不満だ"
"眞行寺","しんぎょうじ","千英華","ちえか",46,"45-49","女",157.4,61.4,24.8,"大分県","高校・旧中","なし","無職その他","300万円～","有配偶",32,"吸わない","毎日","やや満足"
"桑田","くわた","紅梨子","くりこ",67,"65-69","女",151.1,57.5,25.2,"長野県","高校・旧中","なし","無職その他","500万円～","死別",30,"吸わない","飲まない (飲めない)","やや満足"
"房園","ぼうぞの","万由美","まゆみ",26,"25-29","女",165,77.3,28.4,"神奈川県","高校・旧中","なし","無職その他","100万円以下","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"吉位","よしい","孟成","たけなり",68,"65-69","男",173,64,21.4,"東京都","高校・旧中","なし","無職その他","300万円～","有配偶",22,"吸わない","飲まない (飲めない)","やや満足"
"本崎","もとさき","美歩世","みほよ",54,"50-54","女",159.9,47,18.4,"長野県","高校・旧中","なし","無職その他","300万円～","有配偶",33,"吸わない","毎日","満足"
"黄田","こうだ","奏太郎","そうたろう",67,"65-69","男",161.1,58.9,22.7,"千葉県","高校・旧中","なし","分類不能の職業","400万円～","有配偶",23,"吸わない","週１-２日","やや満足"
"赤原","あかはら","音々愛","ねねね",72,"70-74","女",144.2,48.9,23.5,"鹿児島県","小学校・中学校","なし","無職その他","200万円～","離別",25,"吸わない","飲まない (飲めない)","やや不満だ"
"正入木","しょういりき","彩知加","いちか",70,"70-74","女",153.4,48,20.4,"福島県","高校・旧中","なし","無職その他","100万円～","有配偶",31,"吸わない","ほとんど飲まない","やや満足"
"田鶴谷","たづや","悠羽","ゆうわ",54,"50-54","女",152.6,53.1,22.8,"千葉県","高校・旧中","なし","事務従事者","200万円～","有配偶",53,"吸わない","飲まない (飲めない)","不満だ"
"一柳","いちりゅう","朝輔","ちょうすけ",49,"45-49","男",168.3,79.3,28,"奈良県","高校・旧中","なし","生産工程従事者","100万円～","有配偶",30,"吸わない","飲まない (飲めない)","やや不満だ"
"大田垣","おおたがき","結胡","ゆいこ",41,"40-44","女",160.2,68,26.5,"長野県","高校・旧中","なし","無職その他","100万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"腰塚","こしつか","伊国","たく",61,"60-64","男",169.9,61.8,21.4,"愛知県","高校・旧中","なし","専門的・技術的職業従事者","100万円～","有配偶",28,"毎日吸っている","毎日","やや不満だ"
"井島","いしま","星歌","せいか",69,"65-69","女",145.6,38.6,18.2,"愛知県","小学校・中学校","なし","無職その他","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"立光","たつこう","華奈葉","かなは",46,"45-49","女",157.9,62.8,25.2,"長崎県","高校・旧中","なし","無職その他","200万円～",NA,NA,"吸わない","週３-４日","満足"
"接植","つぎうえ","崇那","すな",22,"20-24","女",167.4,60,21.4,"愛知県","高校・旧中","なし","事務従事者","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"嘉手刈","かてがる","羽姫","はぴ",29,"25-29","女",158.8,53.2,21.1,"富山県","大学・大学院","大学 社会科学","サービス職業従事者","100万円～","有配偶",22,"吸わない","飲まない (飲めない)","満足"
"友田","ともだ","園林子","えりこ",78,"75-79","女",150,56,24.9,"北海道","小学校・中学校","なし","無職その他","2000万円～2500万円","死別",28,"吸わない","飲まない (飲めない)","不満だ"
"名良橋","ならはし","摩保","まほ",80,"80-84","女",158.8,71.6,28.4,"東京都","小学校・中学校","なし","無職その他","200万円～","死別",28,"吸わない","飲まない (飲めない)","やや満足"
"高槻","たかつき","音李","おんり",71,"70-74","女",151.5,45,19.6,"神奈川県","高校・旧中","なし","無職その他","100万円～","有配偶",40,"吸わない","週５-６日","やや満足"
"江花","えばな","璃水","りず",50,"50-54","女",161.7,58.6,22.4,"鹿児島県","高校・旧中","なし","無職その他","100万円以下","有配偶",30,"吸わない","毎日","やや不満だ"
"細機","ほそはた","亜依里","あいり",37,"35-39","男",171.7,56.6,19.2,"愛知県","小学校・中学校","なし","販売従事者","200万円～","有配偶",31,"以前は吸っていたが.１か月以上吸っていない","ほとんど飲まない","やや満足"
"長石","ながいし","亜貴理","あきり",74,"70-74","女",149.7,42.8,19.1,"長崎県","短大・高専","短大 家政","事務従事者","400万円～","有配偶",36,"吸わない","月に１-３日","満足"
"富木","とみき","三至朗","さんしろう",68,"65-69","男",167.1,65.9,23.6,"大分県","大学・大学院","大学 工学","事務従事者","600万円～","有配偶",33,"毎日吸っている","飲まない (飲めない)","満足"
"西郡","にしごおり","莉椛胡","りかこ",16,"15-19","女",160.3,63,24.5,"神奈川県","小学校・中学校","なし","無職その他","600万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"灰戸","はいと","真也来","まやら",72,"70-74","女",152.2,43.1,18.6,"大阪府","高校・旧中","なし","農林漁業従事者","500万円～","死別",31,"吸わない","飲まない (飲めない)","満足"
"森谷","もりたに","樹亜","きあ",26,"25-29","男",168.1,69.2,24.5,"北海道","高校・旧中","なし","分類不能の職業","100万円～","未婚",NA,"時々吸う日がある","飲まない (飲めない)","やや満足"
"野宮","のみや","佐代利","さより",83,"80-84","女",157.4,57.7,23.3,"福島県","大学・大学院","大学 工学","無職その他","200万円～","有配偶",27,"吸わない","週３-４日","やや満足"
"目次","めつぎ","燦來","さんご",79,"75-79","女",159.1,63.8,25.2,"群馬県","小学校・中学校","なし","無職その他","100万円以下","有配偶",33,"吸わない","ほとんど飲まない","やや満足"
"上川内","かみこうち","巴宗","はた",48,"45-49","女",160.2,45.7,17.8,"和歌山県","高校・旧中","なし","運搬・清掃・包装等従事者","200万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"小杉山","こすぎやま","利枝香","りえか",40,"40-44","女",149.4,61.6,27.6,"福岡県","高校・旧中","なし","サービス職業従事者","1500万円～2000万円","有配偶",27,"毎日吸っている","飲まない (飲めない)","やや満足"
"津垣","つがき","狩琉","かりる",22,"20-24","男",170.5,47.7,16.4,"神奈川県","高校・旧中","なし","運搬・清掃・包装等従事者","200万円～","未婚",NA,"吸わない","週３-４日","やや満足"
"細倉","ほそくら","万郷","まさと",48,"45-49","男",168.7,58.9,20.7,"大阪府","大学・大学院","大学 社会科学","事務従事者","700万円～","死別",25,"毎日吸っている","飲まない (飲めない)","やや満足"
"東海枝","しょうじ","福菜乃","ふなの",79,"75-79","女",150.3,50.1,22.2,"埼玉県","高校・旧中","なし","無職その他","100万円以下","死別",30,"吸わない","飲まない (飲めない)","やや不満だ"
"冨ヶ原","とみがはら","紗穂","すずほ",59,"55-59","女",154.7,46.4,19.4,"青森県","短大・高専","短大 保健","サービス職業従事者","300万円～",NA,NA,"吸わない","週１-２日","やや不満だ"
"上羽","かみわ","陽可利","ひかり",27,"25-29","女",163.3,65.1,24.4,"愛媛県","短大・高専","短大 家政","事務従事者","600万円～","有配偶",22,"吸わない","飲まない (飲めない)","満足"
"佐久本","さくもと","真智佳","まちか",25,"25-29","女",157.4,48.1,19.4,"千葉県","短大・高専","短大 その他","販売従事者","100万円～","未婚",NA,"吸わない","ほとんど飲まない","満足"
"水嵜","みずさき","有里彩","ありさ",69,"65-69","女",149.8,54.1,24.1,"鹿児島県","小学校・中学校","なし","無職その他","500万円～","有配偶",25,"吸わない","ほとんど飲まない","やや不満だ"
"前木","まえき","智野","さとの",76,"75-79","女",143.8,55.6,26.9,"京都府","小学校・中学校","なし","無職その他","100万円～","有配偶",32,"吸わない","飲まない (飲めない)","やや満足"
"百合川","ゆりかわ","硝子","しょうこ",38,"35-39","女",156.2,50.7,20.8,"愛知県","短大・高専","短大 社会","無職その他","100万円以下","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"帯賀","おびが","柳之進","りゅうのしん",30,"30-34","男",175.4,82.5,26.8,"東京都","高校・旧中","なし","専門的・技術的職業従事者","100万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"前多","まえた","誠五","せいご",20,"20-24","男",166.5,65.1,23.5,"北海道","小学校・中学校","なし","販売従事者","300万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"梅景","うめかげ","照佳","てるか",53,"50-54","女",162.5,54.7,20.7,"山口県","短大・高専","短大 教育","事務従事者","100万円～","有配偶",21,"毎日吸っている","飲まない (飲めない)","やや満足"
"須谷","すがい","樹希","じゅき",55,"55-59","男",176.9,95.1,30.4,"新潟県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",42,"吸わない","飲まない (飲めない)","やや不満だ"
"田","くわた","亨子","ゆきこ",47,"45-49","女",163.2,57.5,21.6,"大阪府","高校・旧中","なし","専門的・技術的職業従事者","100万円～","有配偶",22,"吸わない","毎日","やや満足"
"東石","あずまいし","梛","なぎ",38,"35-39","男",169.6,80,27.8,"北海道","大学・大学院","大学 社会科学","サービス職業従事者","300万円～","離別",23,"毎日吸っている","毎日","満足"
"上薗","かみぞの","友好祈","ゆずき",71,"70-74","女",142.5,61.5,30.3,"佐賀県","小学校・中学校","なし","無職その他","300万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"根武谷","ねぶや","友虹愛","ゆきあ",56,"55-59","女",150.9,48.7,21.4,"愛知県","大学・大学院","大学 家政","事務従事者","300万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや不満だ"
"糠盛","ぬかもり","里実香","りみか",28,"25-29","女",157,63.3,25.7,"静岡県","短大・高専","短大 人文","サービス職業従事者","100万円以下","有配偶",26,"吸わない","ほとんど飲まない","満足"
"夏越","なつごえ","阿恵加","あえか",71,"70-74","女",146,39.4,18.5,"静岡県","小学校・中学校","なし","無職その他","100万円以下",NA,NA,"吸わない","ほとんど飲まない","やや満足"
"蓑茂","みのも","利明","としあき",61,"60-64","男",171.8,88,29.8,"兵庫県","大学・大学院","大学 人文科学","販売従事者","700万円～","有配偶",31,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"鶴岡","つるおか","阿優","あゆう",64,"60-64","女",150.3,55.1,24.4,"熊本県","高校・旧中","なし","無職その他","200万円～","有配偶",30,"吸わない","毎日","やや満足"
"松任","まつとう","常許","つねもと",33,"30-34","男",168.7,77.4,27.2,"大阪府","短大・高専","短大 工業","専門的・技術的職業従事者","600万円～","未婚",NA,"吸わない","週３-４日","やや満足"
"神内","じんない","笹映","ささえ",39,"35-39","女",149.8,45.1,20.1,"埼玉県","高校・旧中","なし","事務従事者","200万円～","有配偶",28,"吸わない","週１-２日","やや不満だ"
"田嶌","たじま","峻士","たかし",25,"25-29","男",170.6,51.8,17.8,"東京都","高校・旧中","なし","無職その他","300万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"長棟","ながむね","葉菜巳","はなみ",47,"45-49","女",161.5,57.1,21.9,"高知県","短大・高専","短大 教養","専門的・技術的職業従事者","300万円～","有配偶",25,"吸わない","週５-６日","やや満足"
"鴛海","おしのみ","宙三朗","ちゅうざぶろう",70,"70-74","男",163.6,65.8,24.6,"神奈川県","小学校・中学校","なし","分類不能の職業","500万円～","有配偶",28,"吸わない","月に１-３日","やや満足"
"八竹","やちく","織美奈","おみな",74,"70-74","女",149.3,49.3,22.1,"宮城県","高校・旧中","なし","無職その他","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"西影","にしかげ","瑛羅","あきら",73,"70-74","男",158.1,65.7,26.3,"埼玉県","高校・旧中","なし","無職その他","400万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"十字","じゅうじ","愛彩渚","あさな",50,"50-54","女",158.3,75.9,30.3,"大阪府","高校・旧中","なし","生産工程従事者","300万円～","有配偶",27,"吸わない","ほとんど飲まない","やや不満だ"
"近衛","このえ","学愛","まなあ",26,"25-29","女",156.4,51.9,21.2,"東京都","短大・高専","短大 教育","運搬・清掃・包装等従事者","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","満足"
"綾瀬","あやせ","王美","おうみ",87,"85-89","男",162.9,37.9,14.3,"鹿児島県","高校・旧中","なし","無職その他","400万円～","有配偶",22,"吸わない","月に１-３日","不満だ"
"大附","おおつき","秀雪","ひでゆき",19,"15-19","男",172.6,50.9,17.1,"神奈川県","高校・旧中","なし","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","不満だ"
"湯澤","ゆざわ","浅羽蘭","さはら",40,"40-44","女",163.2,53.5,20.1,"東京都","短大・高専","短大 教育","販売従事者","500万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや不満だ"
"橋上","はしがみ","友津砂","ゆずさ",65,"65-69","女",152.3,51,22,"長野県","小学校・中学校","なし","無職その他","100万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"朴谷","ほおのきだに","真音","しおん",20,"20-24","女",149.6,32.5,14.5,"東京都","大学・大学院","大学院 保健","サービス職業従事者","200万円～","未婚",NA,"吸わない","月に１-３日","やや満足"
"勝間田","かつまた","政良","まさよし",53,"50-54","男",173.5,63.8,21.2,"長野県","大学・大学院","大学 工学","生産工程従事者","900万円～","離別",26,"毎日吸っている","ほとんど飲まない","やや満足"
"後呂","うしろ","惺楠","せな",65,"65-69","女",148.1,47.4,21.6,"高知県","高校・旧中","なし","無職その他","100万円～","有配偶",30,"吸わない","ほとんど飲まない","やや満足"
"南光院","なんこういん","侑理","ゆり",38,"35-39","女",157.5,57.6,23.2,"沖縄県","大学・大学院","大学 教育","無職その他","300万円～","有配偶",33,"吸わない","ほとんど飲まない","やや不満だ"
"赤堀","あかぼり","貴衣","たかえ",47,"45-49","女",161.7,57,21.8,"和歌山県","大学・大学院","大学 人文科学","運搬・清掃・包装等従事者","400万円～","離別",23,"吸わない","週１-２日","やや満足"
"新留","しんどめ","照許","てるもと",67,"65-69","男",170.2,60.3,20.8,"石川県","大学・大学院","大学 工学","無職その他","400万円～","有配偶",21,"毎日吸っている","毎日","満足"
"海地","うみぢ","輝澄","てるすみ",27,"25-29","男",169.2,67.6,23.6,"愛知県","小学校・中学校","なし","分類不能の職業","400万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"見留","みとめ","諒一","りょういち",68,"65-69","男",165.5,64.4,23.5,"東京都","高校・旧中","なし","無職その他","300万円～","有配偶",45,"毎日吸っている","飲まない (飲めない)","やや満足"
"久良","きゅうら","聖志郎","きよしろう",81,"80-84","男",173.8,61,20.2,"熊本県","短大・高専","短大 保健","無職その他","400万円～","有配偶",28,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","満足"
"宇田川","うたがわ","麗","うるみ",37,"35-39","女",158,49.2,19.7,"東京都","高校・旧中","なし","無職その他","100万円～","有配偶",27,"吸わない","飲まない (飲めない)","満足"
"羽子田","はねた","美寛","みひろ",40,"40-44","女",161.3,55.4,21.3,"奈良県","短大・高専","短大 教育","事務従事者","100万円以下","有配偶",27,"吸わない","毎日","やや満足"
"千国","ちくに","富美雄","とみお",16,"15-19","男",181.3,60.2,18.3,"宮城県","小学校・中学校","なし","無職その他","1000万円～1500万円","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"鳥越","とりこえ","鍛","きたえ",51,"50-54","男",160,63,24.6,"静岡県","小学校・中学校","なし","運搬・清掃・包装等従事者","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","不満だ"
"高麗","たかま","玄輔","げんすけ",64,"60-64","男",173.3,92.2,30.7,"茨城県","小学校・中学校","なし","無職その他","700万円～","離別",25,"吸わない","毎日","やや不満だ"
"瀬ヶ沼","せがぬま","勝摩","しょうま",31,"30-34","男",160.2,60.8,23.7,"徳島県","大学・大学院","大学 保健","専門的・技術的職業従事者","200万円～","未婚",NA,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"上口","じょうぐち","常伸","つねのぶ",51,"50-54","男",168.7,52.9,18.6,"大阪府","大学・大学院","大学 社会科学","無職その他","1000万円～1500万円","有配偶",23,"吸わない","毎日","やや満足"
"加沢","かざわ","里衣沙","りいさ",45,"45-49","女",154,48.6,20.5,"茨城県","大学・大学院","大学院 人文科学","サービス職業従事者","200万円～","有配偶",45,"吸わない","ほとんど飲まない","やや満足"
"年末","としま","緋舞名","ひまな",66,"65-69","女",161.8,58.1,22.2,"東京都","小学校・中学校","なし","無職その他","100万円以下","有配偶",26,"毎日吸っている","週１-２日","やや満足"
"大木","おおき","心瑠愛","みるあ",48,"45-49","女",153.2,58.7,25,"福岡県","小学校・中学校","なし","運搬・清掃・包装等従事者","200万円～","有配偶",33,"吸わない","ほとんど飲まない","やや満足"
"井汲","いくみ","陽乃葵","ひのき",67,"65-69","女",153.6,55,23.3,"宮城県","高校・旧中","なし","無職その他","100万円以下","有配偶",27,"吸わない","毎日","やや満足"
"霍川","つるかわ","果花","はな",38,"35-39","女",152.7,56,24,"奈良県","短大・高専","短大 保健","専門的・技術的職業従事者","100万円～","有配偶",33,"吸わない","飲まない (飲めない)","やや満足"
"角湯","かどゆ","爽朱","そあ",54,"50-54","女",169.1,43.2,15.1,"神奈川県","高校・旧中","なし","販売従事者","300万円～","有配偶",37,"吸わない","飲まない (飲めない)","やや不満だ"
"川脇","かわわき","志夏","ゆきな",45,"45-49","女",148.3,55.9,25.4,"大阪府","短大・高専","短大 その他","無職その他","400万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"北古賀","きたこが","航琉","わたる",55,"55-59","男",160.3,56.5,22,"山口県","大学・大学院","大学 工学","建設・採掘従事者","300万円～","有配偶",31,"吸わない","飲まない (飲めない)","やや不満だ"
"杉","すぎ","菜幸","なゆき",53,"50-54","女",163.7,46.6,17.4,"熊本県","高校・旧中","なし","生産工程従事者","200万円～","有配偶",28,"吸わない","飲まない (飲めない)","満足"
"真鍋","まなべ","竜二","りゅうじ",30,"30-34","男",170.8,58.1,19.9,"東京都","高校・旧中","なし","無職その他","700万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","週５-６日","やや満足"
"余喜多","よぎた","時人","ときひと",71,"70-74","男",171.6,73,24.8,"山口県","小学校・中学校","なし","無職その他","400万円～","有配偶",47,"吸わない","週５-６日","やや満足"
"畑崎","はたさき","真哉","まさや",35,"35-39","男",161.9,61.9,23.6,"長野県","大学・大学院","大学 工学","無職その他","100万円以下","未婚",NA,"吸わない","月に１-３日","やや満足"
"堂寺","どうてら","貴巳","きみ",39,"35-39","男",171.6,85.1,28.9,"神奈川県","高校・旧中","なし","専門的・技術的職業従事者","700万円～","有配偶",21,"吸わない","月に１-３日","やや不満だ"
"串光","くしみつ","千音","ちの",72,"70-74","女",137.9,51.3,27,"香川県","小学校・中学校","なし","無職その他","200万円～","有配偶",22,"吸わない","飲まない (飲めない)","満足"
"欠端","かけはた","清俊","きよとし",59,"55-59","男",169.2,61,21.3,"福岡県","高校・旧中","なし","販売従事者","400万円～","有配偶",35,"毎日吸っている","毎日","満足"
"小割","こわり","和","なごむ",65,"65-69","男",163.4,62.5,23.4,"岩手県","小学校・中学校","なし","農林漁業従事者","300万円～","有配偶",43,"毎日吸っている","飲まない (飲めない)","やや満足"
"麻植","あさうえ","葉都姫","はつき",25,"25-29","女",162.7,57.4,21.7,"新潟県","短大・高専","短大 人文","無職その他","400万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"高泉","たかいずみ","桜吾","おうご",37,"35-39","男",178,75.1,23.7,"大阪府","短大・高専","短大 社会","無職その他","700万円～","未婚",NA,"吸わない","毎日","やや満足"
